Hcell	Pcell	Delta_mean_%	meanP	maxP	Variance_P	CV_P	meanH	maxH	new_meanH	new_maxH	new_Variance_H	new_CV_H
Cell#52	3948_2_0_3	-27.15	141441405353.5754	478553324436.1024	6846.2109481338375	0.5849901795985452	13661000000.0	34046000000.0	9952341892.223686	34046000000.0	34.590283056996185	0.590951407085749
Cell#257	3950_3_1_2_1_3_0	-15.63	121808822481.55779	418515490474.90173	5044.3542849497735	0.5830744961645145	11715000000.0	38131000000.0	9884463804.303392	38131000000.0	45.26060552376125	0.6806236952171758
Cell#847	3964_2_0	-41.48	90483228881.88684	454784315600.298	4015.799970471101	0.7003545365859932	21290000000.0	37805000000.0	12457527030.686043	37805000000.0	18.772129975060746	0.3477962844558511
Cell#426	3960_2_0	-64.54	55804125062.69372	391695412156.2747	1407.8961662610352	0.6723865381224619	36329000000.0	59092000000.0	12883678497.95155	59092000000.0	26.74121342532881	0.40137533059499264
Cell#464	3951_2_0_3_1	-29.1	134623901219.98466	442570134309.2012	6211.057619082654	0.5854106343516696	13677000000.0	30863000000.000004	9696558994.157566	30863000000.0	28.873021678612513	0.5541514505768761
Cell#99	3950_1_3_0_2_1	-25.94	100708804764.95747	382938836069.1545	4041.5556672058187	0.6312579212133768	37444000000.0	77320000000.0	27730481880.485176	77320000000.0	126.01625514867028	0.40481432119435135
Cell#514	3951_3_2_2	-19.14	138204448623.934	365289344957.54565	6126.85172546592	0.5663653329389665	17788000000.0	38577000000.0	14382549219.939177	38577000000.0	68.8060509372312	0.5767365130544949
Cell#227	3963_2_0_1	-61.29	75547925413.28548	431417989771.8959	5806.286706110214	1.0086179562323563	31816999999.999996	55754000000.0	12316901797.870481	55754000000.0	87.03961104905291	0.7574552707868759
Cell#743	3950_3_2_1_1_1_3	-2.0	146845719246.05078	434129386127.16833	7263.544422558757	0.5803807611330355	5957000000.000001	18445000000.0	5837587834.396407	18445000000.0	13.901421740824574	0.6386989194256028
Cell#371	3950_3_0_1_1_3	-30.28	101363230407.15144	364896058503.3595	3435.8366009246456	0.5782768517821303	32667000000.0	57328000000.0	22775762842.522484	57328000000.0	57.55367158043829	0.33309152673659365
Cell#266	3950_3_1_2_1_1_0	-22.17	116580781530.40501	415134665725.8068	10825.94965825944	0.8924955085546982	6058000000.0	16710000000.0	4715441238.046329	16710000000.000002	17.468180899254406	0.8863423551300317
Cell#837	3950_3_0_2_1_1	-13.13	161554178651.18887	402603751484.572	6997.27845291057	0.5177813252242074	23970000000.0	54991000000.00001	20823264321.05268	54991000000.0	138.70392713933447	0.5655819837568593
Cell#461	3950_3_2_1_1_1_1	-30.44	140556321925.1104	393422120566.953	6015.128970350318	0.5517877919869365	16700000000.0	30280000000.0	11616840703.29043	30280000000.0	32.1500058686841	0.48809290436767944
Cell#277	3950_3_1_3_2_2	-14.19	145851148809.40216	399020751196.2778	4892.822034796173	0.4795897091009219	8946000000.0	21614000000.0	7676605280.922515	21614000000.0	14.39084066677221	0.494167149839185
Cell#914	3950_0_2_2_0_1	-55.3	85183235116.69534	468717602096.10754	2735.700259451587	0.6140166190656903	17042000000.000002	39338000000.0	7618076902.341948	39338000000.0	18.564947912046684	0.5655897302298293
Cell#726	3949_3_3_3_1	-40.39	104978609545.61395	402622305080.5018	3067.564303433158	0.5275893515239394	13814000000.0	27745000000.0	8235058927.995661	27745000000.0	12.834875333600674	0.435039925752739
Cell#417	3948_1_3_1_1	-47.97	72128719344.30484	337823193576.9188	2099.5680216149785	0.6352676694262759	19652000000.0	36745000000.0	10224437320.018826	36745000000.0	20.82539796855307	0.44633119110534525
Cell#125	3950_2_0_3_0_2_2	3.23	132502590275.66443	464097728096.9437	6420.691485687243	0.6047369886255962	4713000000.0	17592000000.0	4864942213.23972	17592000000.0	9.41398614395368	0.6306800470905786
Cell#352	3944_3_2_2	5.86	174647117040.0113	446391084616.1024	8834.308691337465	0.5381766664104368	4748000000.0	12505000000.0	5025820636.221993	12505000000.0	6.616407294068675	0.5118045360308504
Cell#353	3951_1_3_2_0	-26.43	117853779728.40157	383919686946.97473	4497.047232735902	0.5690104062869297	34086999999.999996	65458000000.0	25078282372.48869	65457999999.99999	103.92579779189069	0.40650313143636113
Cell#384	3962_3_0_3	-10.92	149097554114.72278	393875805855.6671	5787.177593718909	0.5102263528743887	23653000000.000004	48445000000.0	21070554248.41677	48445000000.0	73.28003606239712	0.40627198644347406
Cell#244	3950_3_1_1_2_3	-25.72	176758695907.9003	457438745561.70935	12002.117499606124	0.6197951140743334	19780000000.0	30744000000.0	14691549514.467522	30744000000.0	39.08240273706392	0.4255229858530309
Cell#603	3952_1_3_2_2	-35.96	87202089263.95497	435645131360.6642	3662.0695996530035	0.6939631453325575	10751000000.0	27787000000.0	6885158704.599416	27787000000.0	13.02630341719472	0.5241995449559544
Cell#463	3947_0_2_0	-11.0	120432877829.90317	411183533777.82227	5519.336770638225	0.6168767225783	2499000000.0	5890000000.0	2223609723.785964	5890000000.0	0.8577764977996609	0.4165129481631873
Cell#482	3950_3_3_0_2_2	-24.0	134654499934.69638	444034105123.5853	6857.861531502871	0.6149976900605794	22483000000.0	31220000000.0	17088490276.274525	31220000000.0	14.440928507654267	0.22237904628543662
Cell#193	3950_3_1_2_1_0_3	-49.31	65081560098.61918	339192208689.05396	2163.455989230006	0.7146873207708372	7557000000.0	16387000000.0	3831005696.1481524	16386999999.999998	4.583228396954118	0.5588213013095428
Cell#416	3950_3_1_2_3_2_3	-20.47	138401310450.42892	362465048509.0174	5669.331560466743	0.5440336039265226	3848999999.9999995	8480000000.0	3060547646.114117	8480000000.0	3.2951394595286927	0.5931134259745985
Cell#709	3950_3_1_1_3_0_2	-25.17	133783245932.84625	461647397045.1065	5809.617315743818	0.5697338642496039	10627000000.0	22653000000.000004	7952350713.027897	22653000000.000004	11.493549482761663	0.42631592891434883
Cell#146	3948_1_2_2_1	-6.89	97738618443.69011	373288472297.41455	3506.724905144563	0.6058772604009903	14377000000.0	27195000000.0	13385506481.51634	27195000000.0	9.250555797186804	0.22722133379645623
Cell#5	3949_0_1_2	-28.18	181121463311.83743	489949633588.38873	8529.050108041372	0.5098946024108038	13954000000.0	25081999999.999996	10021693983.498533	25081999999.999996	20.042892354192226	0.446723767955251
Cell#873	3951_2_0_1_1	3.11	82635581775.77414	269840458901.769	2328.8021290609595	0.5839816566202092	32619999999.999996	88031000000.0	33633520657.365116	88031000000.0	192.00787000054353	0.4119904836304995
Cell#31	3950_1_0_0_2	-25.45	85504196261.48349	329931437290.3306	2453.194245233234	0.5792666686300291	43330000000.0	90457000000.00002	32303872979.26871	90457000000.00002	140.15075626065152	0.36647396658776327
Cell#754	3950_0_1_2_3	-19.79	79763868972.7062	293644474357.6719	2739.255985033271	0.6561605231430175	29421999999.999996	56147000000.0	23597939744.72033	56147000000.0	63.54261433853496	0.33779907163278605
Cell#645	3948_1_2_1_0	-45.34	114006740443.47467	428464914499.7401	5368.415944484974	0.6426766922979728	12761000000.0	24885000000.0	6974514790.301773	24885000000.0	17.361142965182154	0.5974136716933043
Cell#289	3950_2_1_1_0_3	-30.69	104789055712.01128	390277260140.59644	4536.284707521747	0.6427383672651464	35121000000.0	75506000000.0	24342536603.63773	75505999999.99998	146.34228517456305	0.49695731139620536
Cell#827	3950_1_2_3_2	-18.91	91822742212.16846	406031515333.4701	3784.3047754187764	0.6699506216095523	8672000000.0	18577000000.0	7031712303.589049	18577000000.0	5.181901188662598	0.32373038968621987
Cell#706	3964_3_1_3	-46.66	127181103909.05293	435443102401.15796	4734.451191719278	0.5410186440416563	36999000000.0	61441000000.0	19735089904.91278	61441000000.0	84.85628127155604	0.4667699494583465
Cell#109	3951_1_1_1_2	-14.2	118826404126.7639	420524965037.02234	5126.17134636182	0.6025368386176151	10888000000.0	22723000000.000004	9341670044.909273	22723000000.000004	10.042483619478524	0.3392313982147584
Cell#252	3950_3_1_3_0_1	-5.32	185206526634.85114	474546353649.7291	10302.195931407383	0.5480354040223332	15300999999.999998	38769000000.0	14486521124.868374	38769000000.0	71.91672856020946	0.5853974922572299
